movie_names,movie_types,movie_director,movie_actor,movie_dis,movie_grade,movie_addr,movie_year
雾中风景 Τοπίο στην ομίχλη,剧情,西奥·安哲罗普洛斯,米哈利斯·齐克 / 塔尼娅·帕拉依奥罗葛 / 斯特拉托斯·楚措格卢,32799,8.9,希腊/法国/意大利,20世纪80年代
沉静如海 Le silence de la mer,剧情 / 爱情 / 战争,皮埃尔·布特龙,朱莉·德拉姆 / 米歇尔·加拉布吕 / 托马斯·儒阿特,61325,9.2,法国/比利时,21世纪00年代
听见天堂 Rosso come il cielo,剧情,克里斯蒂亚诺·博尔托内,Francesco Campobasso / 卢卡·卡普里奥蒂 / 马可·科奇,30412,8.9,意大利,21世纪00年代
大路 La strada,剧情,费德里科·费里尼,安东尼·奎恩 / 朱丽叶塔·马西纳 / 理查德·贝斯哈特,33741,9.0,意大利,20世纪50年代
爱情短片 Krótki film o miłości,剧情 / 爱情,克日什托夫·基耶斯洛夫斯基,格拉日娜·沙波沃夫斯卡 / 奥拉夫·卢巴申科 / 斯特凡尼亚·伊文斯卡,21233,8.8,波兰,20世纪80年代
回归 Возвращение,剧情 / 家庭,安德烈·萨金塞夫,弗拉迪米尔·加林 / 伊万·杜布朗拉沃夫 / 康斯坦丁·拉夫罗年科,22930,8.7,俄罗斯,21世纪00年代
淘金记 The Gold Rush,喜剧 / 爱情 / 西部 / 冒险,查理·卓别林,查理·卓别林 / 马克·斯旺 / 汤姆·默里,43693,9.2,美国,20世纪20年代
乡愁 Ностальгия,剧情,安德烈·塔可夫斯基,奥列格·扬科夫斯基 / 厄兰·约瑟夫森 / 多美兹亚娜·佐丹奴,26003,9.1,苏联/意大利,20世纪80年代
从海底出击 Das Boot,剧情 / 历史 / 战争 / 冒险,沃尔夫冈·彼德森,尤尔根·普洛斯诺 / 赫贝特·格勒内梅厄 / Klaus Wennemann,32552,9.1,西德,20世纪80年代
镜子 Зеркало,传记 / 剧情 / 历史 / 战争,安德烈·塔可夫斯基,玛格丽特·捷列霍娃 / 因诺肯季·斯莫克图诺夫斯基 / 奥列格·扬科夫斯基,21888,9.0,苏联,20世纪70年代
神女,剧情,吴永刚,阮玲玉 / 黎铿 / 章志直,23113,9.1,中国大陆,20世纪30年代
生之欲 生きる,剧情,黑泽明,志村乔 / 日守新一 / 田中春男,28078,9.2,日本,20世纪50年代
让子弹飞,剧情 / 喜剧 / 动作 / 西部,姜文,姜文 / 葛优 / 周润发,1348214,8.9,中国大陆/中国香港,21世纪10年代
当幸福来敲门 The Pursuit of Happyness,剧情 / 传记 / 家庭,加布里埃莱·穆奇诺,威尔·史密斯 / 贾登·史密斯 / 坦迪·牛顿,1266701,9.1,美国,21世纪00年代
怦然心动 Flipped,剧情 / 喜剧 / 爱情,罗伯·莱纳,玛德琳·卡罗尔 / 卡兰·麦克奥利菲 / 瑞贝卡·德·莫妮,1501815,9.1,美国,21世纪10年代
闻香识女人 Scent of a Woman,剧情,马丁·布莱斯特,阿尔·帕西诺 / 克里斯·奥唐纳 / 詹姆斯·瑞布霍恩,710507,9.1,美国,20世纪90年代
大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒,喜剧 / 爱情 / 奇幻 / 古装,刘镇伟,周星驰 / 吴孟达 / 罗家英,1017266,9.0,中国香港/中国大陆,20世纪90年代
低俗小说 Pulp Fiction,剧情 / 喜剧 / 犯罪,昆汀·塔伦蒂诺,约翰·特拉沃尔塔 / 乌玛·瑟曼 / 阿曼达·普拉莫,685607,8.9,美国,20世纪90年代
美丽心灵 A Beautiful Mind,传记 / 剧情,朗·霍华德,罗素·克劳 / 艾德·哈里斯 / 詹妮弗·康纳利,628536,9.0,美国,21世纪00年代
指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring,剧情 / 动作 / 奇幻 / 冒险,彼得·杰克逊,伊利亚·伍德 / 西恩·奥斯汀 / 伊恩·麦克莱恩,698232,9.1,新西兰/美国,21世纪00年代
死亡诗社 Dead Poets Society,剧情,彼得·威尔,罗宾·威廉姆斯 / 罗伯特·肖恩·莱纳德 / 伊桑·霍克,574999,9.1,美国,20世纪80年代
指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,剧情 / 动作 / 奇幻 / 冒险,彼得·杰克逊,伊利亚·伍德 / 西恩·奥斯汀 / 多米尼克·莫纳汉,613570,9.1,美国/新西兰,21世纪00年代
阳光姐妹淘 써니,剧情 / 喜剧,姜炯哲,沈恩京 / 闵孝琳 / 姜素拉,514215,8.8,韩国,21世纪10年代
爱在黎明破晓前 Before Sunrise,剧情 / 爱情,理查德·林克莱特,伊桑·霍克 / 朱莉·德尔佩 / 安德莉亚·埃克特,516579,8.8,美国/奥地利/瑞士,20世纪90年代
再见我们的幼儿园 さよならぼくたちのようちえん,剧情,水田伸生,芦田爱菜 / 满岛光 / 桥本智哉,107921,8.8,日本,21世纪10年代
菊次郎的夏天 菊次郎の夏,剧情 / 喜剧,北野武,北野武 / 关口雄介 / 岸本加世子,474120,8.8,日本,20世纪90年代
碧海蓝天 Le grand bleu,剧情 / 爱情,吕克·贝松,让-马克·巴尔 / 让·雷诺 / 罗姗娜·阿奎特,133899,8.7,法国/意大利,20世纪80年代
荒野生存 Into the Wild,冒险 / 传记 / 剧情,西恩·潘,埃米尔·赫斯基 / 马西娅·盖伊·哈登 / 威廉·赫特,191870,8.6,美国,21世纪00年代
勇士 Warrior,剧情 / 运动 / 家庭,加文·欧康诺,汤姆·哈迪 / 乔尔·埃哲顿 / 尼克·诺特,141108,8.9,美国,21世纪10年代
浪潮 Die Welle,剧情 / 惊悚,丹尼斯·甘塞尔,于尔根·福格尔 / 弗雷德里克·劳 / 马克思·雷迈特,229152,8.7,德国,21世纪00年代
梦之安魂曲 Requiem for a Dream,剧情,达伦·阿伦诺夫斯基,艾伦·伯斯汀 / 杰瑞德·莱托 / 詹妮弗·康纳利,173694,8.8,美国,21世纪00年代
自闭历程 Temple Grandin,剧情 / 传记,米克·杰克逊,克莱尔·丹妮丝 / 朱莉娅·奥蒙德 / 凯瑟琳·欧哈拉,60339,8.9,美国,21世纪10年代
地球上的星星 Taare Zameen Par,剧情 / 儿童 / 家庭,阿米尔·汗,达席尔·萨法瑞 / 阿米尔·汗 / 塔奈·切赫达,173964,8.9,印度,21世纪00年代
